,boro_cd,ahv_total_permits,ahv_permits_per_year,ahv_nighttime_permits,ahv_nighttime_share,ahv_weekend_permits,ahv_weekend_share,ahv_near_residence_pct,ahv_open_air_pct,ahv_demolition_pct,ahv_crane_pct,ahv_median_duration_hours,ahv_mean_duration_hours,ahv_top_reason,ahv_top_reason_pct,ahv_permits_2021,ahv_permits_2022,ahv_permits_2023,population,ahv_rate_per_1k_pop
28,305,1568,522.6666666666666,219,0.13966836734693877,620,0.39540816326530615,0.6517857142857143,0.5867346938775511,0.13073979591836735,0.004464285714285714,8.0,7.518080357142857,Construction activities with minimal noise impact,0.3807397959183674,442,542,584,205303.0,2.5458306340709425
29,306,2460,820.0,60,0.024390243902439025,1313,0.5337398373983739,0.8589430894308943,0.47073170731707314,0.2577235772357724,0.02926829268292683,8.0,7.387852303523036,Construction activities with minimal noise impact,0.5126016260162601,322,1279,859,120661.0,6.795899254937386
30,307,3187,1062.3333333333333,59,0.018512707875745216,1048,0.32883589582679634,0.834954502667085,0.6529651710072168,0.32883589582679634,0.021336680263570756,5.983333333333333,7.211463236063174,City Construction Project,0.48823344838406024,113,1508,1566,122767.0,8.653248294194151
31,308,457,152.33333333333334,99,0.21663019693654267,247,0.5404814004376368,0.862144420131291,0.4595185995623632,0.0437636761487965,0.0,8.0,6.944566010211525,Construction activities with minimal noise impact,0.40700218818380746,6,134,317,110281.0,1.3813198405285891
32,309,779,259.6666666666667,13,0.01668806161745828,308,0.39537869062901154,1.0,0.693196405648267,0.06803594351732992,0.028241335044929396,6.0,6.6684210526315795,City Construction Project,0.5057766367137355,99,338,342,99978.0,2.5972380590396553
33,310,1317,439.0,284,0.21564160971905846,602,0.45709946848899013,0.9567198177676538,0.636294608959757,0.2012148823082764,0.0,8.0,6.49192609465958,Public Safety,0.6279422930903569,222,490,605,127569.0,3.441274917887575
34,311,414,138.0,7,0.016908212560386472,245,0.5917874396135265,0.8792270531400966,0.13285024154589375,0.0,0.0,8.0,7.321296296296297,Construction activities with minimal noise impact,0.642512077294686,66,259,89,188487.0,0.7321459835426316
35,312,593,197.66666666666666,4,0.006745362563237774,231,0.38954468802698144,0.9679595278246206,0.38448566610455315,0.09274873524451939,0.026981450252951095,6.0,6.8510680157391795,City Construction Project,0.3440134907251265,153,228,212,192058.0,1.0292029838208596
36,313,1741,580.3333333333334,49,0.028144744399770247,516,0.2963813900057438,0.8696151636990236,0.9414129810453762,0.026421596783457783,0.0034462952326249283,6.0,6.49868849320314,City Construction Project,0.5646180356117174,316,849,576,110299.0,5.261455981770763
37,314,475,158.33333333333334,65,0.1368421052631579,280,0.5894736842105263,0.7557894736842106,0.44842105263157894,0.26105263157894737,0.0,8.0,8.56842105263158,Construction activities with minimal noise impact,0.5242105263157895,119,313,43,164539.0,0.962284524236402
38,315,1492,497.3333333333333,31,0.020777479892761394,606,0.4061662198391421,0.9323056300268097,0.6152815013404827,0.2828418230563003,0.005361930294906166,7.0,7.238751117068812,City Construction Project,0.47788203753351205,174,790,528,157254.0,3.1626116558773276
