ntacode,nta_name,borough_code,borough_name,ntatype,ntaabbrev,ntatype_label,is_residential,nta_short
QN0202,Sunnyside,4,Queens,0,Snnysd,Residential/Mixed,True,QN-QN0202
QN0203,Woodside,4,Queens,0,Wdsd,Residential/Mixed,True,QN-QN0203
QN0261,Sunnyside Yards (South),4,Queens,6,SnnysdYd_S,Industrial/Transportation,False,QN-QN0261
QN0271,Calvary & Mount Zion Cemeteries,4,Queens,7,ClvryCem,Airport,False,QN-QN0271
QN0301,Jackson Heights,4,Queens,0,JcksnHts,Residential/Mixed,True,QN-QN0301
QN0302,East Elmhurst,4,Queens,0,EstElmhrst,Residential/Mixed,True,QN-QN0302
QN0303,North Corona,4,Queens,0,NrthCrna,Residential/Mixed,True,QN-QN0303
QN0401,Elmhurst,4,Queens,0,Elmhrst,Residential/Mixed,True,QN-QN0401
QN0402,Corona,4,Queens,0,Crna,Residential/Mixed,True,QN-QN0402
QN0501,Maspeth,4,Queens,0,Mspth,Residential/Mixed,True,QN-QN0501
QN0502,Ridgewood,4,Queens,0,Rdgwd,Residential/Mixed,True,QN-QN0502
QN0503,Glendale,4,Queens,0,Glndl,Residential/Mixed,True,QN-QN0503
QN0504,Middle Village,4,Queens,0,MddlVlg,Residential/Mixed,True,QN-QN0504
QN0571,Mount Olivet & All Faiths Cemeteries,4,Queens,7,MtOlvtCem,Airport,False,QN-QN0571
QN0572,Middle Village Cemetery,4,Queens,7,MddlVlgCem,Airport,False,QN-QN0572
QN0573,St. John Cemetery,4,Queens,7,StJhnCem,Airport,False,QN-QN0573
QN0574,Highland Park-Cypress Hills Cemeteries (North),4,Queens,7,CyHlsCem_N,Airport,False,QN-QN0574
QN0601,Rego Park,4,Queens,0,RegoPk,Residential/Mixed,True,QN-QN0601
QN0602,Forest Hills,4,Queens,0,FrstHls,Residential/Mixed,True,QN-QN0602
QN0701,College Point,4,Queens,0,CllgPt,Residential/Mixed,True,QN-QN0701
QN0702,Whitestone-Beechhurst,4,Queens,0,Whtstn,Residential/Mixed,True,QN-QN0702
QN0703,Bay Terrace-Clearview,4,Queens,0,ByTr_Clrvw,Residential/Mixed,True,QN-QN0703
QN0704,Murray Hill-Broadway Flushing,4,Queens,0,MryHl_BwyF,Residential/Mixed,True,QN-QN0704
QN0705,East Flushing,4,Queens,0,EstFlshng,Residential/Mixed,True,QN-QN0705
QN0706,Queensboro Hill,4,Queens,0,QnsboroHl,Residential/Mixed,True,QN-QN0706
QN0707,Flushing-Willets Point,4,Queens,0,Flshng,Residential/Mixed,True,QN-QN0707
QN0761,Fort Totten,4,Queens,6,FtTttn,Industrial/Transportation,False,QN-QN0761
QN0791,Kissena Park,4,Queens,9,KssnPk,Park/Recreation,False,QN-QN0791
QN0801,Kew Gardens Hills,4,Queens,0,KwGrdnsHls,Residential/Mixed,True,QN-QN0801
QN0802,Pomonok-Electchester-Hillcrest,4,Queens,0,Pmnk_Hlcst,Residential/Mixed,True,QN-QN0802
QN0803,Fresh Meadows-Utopia,4,Queens,0,FrshMdws,Residential/Mixed,True,QN-QN0803
QN0804,Jamaica Estates-Holliswood,4,Queens,0,JmcaEstts,Residential/Mixed,True,QN-QN0804
QN0805,Jamaica Hills-Briarwood,4,Queens,0,JmcaHls,Residential/Mixed,True,QN-QN0805
QN0871,Mount Hebron & Cedar Grove Cemeteries,4,Queens,7,MtHbrnCem,Airport,False,QN-QN0871
QN0891,Cunningham Park,4,Queens,9,CnnghmPk,Park/Recreation,False,QN-QN0891
QN0901,Kew Gardens,4,Queens,0,KwGrdns,Residential/Mixed,True,QN-QN0901
QN0902,Richmond Hill,4,Queens,0,RchmdHl,Residential/Mixed,True,QN-QN0902
QN0903,South Richmond Hill,4,Queens,0,SthRchmdHl,Residential/Mixed,True,QN-QN0903
QN0904,Ozone Park (North),4,Queens,0,OznPk_N,Residential/Mixed,True,QN-QN0904
QN0905,Woodhaven,4,Queens,0,Wdhvn,Residential/Mixed,True,QN-QN0905
QN1001,South Ozone Park,4,Queens,0,SthOznPk,Residential/Mixed,True,QN-QN1001
QN1002,Ozone Park,4,Queens,0,OznPk,Residential/Mixed,True,QN-QN1002
